Spine term name,Spine term definition,Spine term class/type,Spine term range,Spine term origin,Mapping predicate label,Mapping predicate definition,Mapped term name,Mapped term definition,Mapped term class/type,Mapped term range,Mapped term origin,Comments,Transformation notes
patronymicName,Patronymic name.,ob:Profile,"",Open Badges 3.0 (3.0),Identical,The definition is identical in wording and intent.,patronymicName,Patronymic name.,ob:Profile,"",Open Badges 3.0 (3.0),Alignment for a synthetic property added to the spine. Synthetic uri: https://desm.credentialengine.org/resources/terms/patronymicName-synthetic,
Address,Particulars describing the location of the place.,"",ceterms:Place,Credential Transparency Description Language (1.0),Reworded,The definition is identical in intent but reworded; the properties are equivalent.,address,An address for the individual or organization.,ob:Profile,ob:Address,Open Badges 3.0 (3.0),,
Administration Process,"Entity describing the process by which a resource, or aspects of it, are administered.","",ceterms:ProcessProfile,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Agent Purpose,"Organization's primary purpose as found on an ""about"" page of a website.","",xsd:anyURI,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Agent Purpose Description,"Short, key phrases describing the primary purpose of an organization as might be derived from the ""about"" page of it's website.","",rdf:langString,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Agent Sector Type,"Type of sociological, economic, or political subdivision served by an organization; select from an existing enumeration of such types.","",ceterms:CredentialAlignmentObject,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Agent Type,"Type of organization such as educational institution, credentialing organization or quality assurance body; select from an existing enumeration of such types.","",ceterms:CredentialAlignmentObject,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Alignment Date,The date  the alignment was made.,"",xsd:date,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Alignment Type,Type of relationship between two entities.,"",xsd:string,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Appeal Process,"Formal process for objecting to decisions of the organization regarding credentials, assessments or processes.","",ceterms:ProcessProfile,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Approved By,"Organization that pronounces favorable judgment for this credential, assessment, learning opportunity, or organization.","","ceterms:CredentialOrganization, ceterms:Organization, ceterms:QACredentialOrganization",Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Approved In,"Region or political jurisdiction such as a state, province or locale in which an organization pronounces favorable judgment for this credential, assessment, learning opportunity, or organization.","",ceterms:JurisdictionProfile,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Approves,"Credential, assessment, learning opportunity, or organization for which this organization pronounces favorable judgment.","","ceasn:CompetencyFramework, ceterms:ApprenticeshipCertificate, ceterms:AssessmentProfile, ceterms:AssociateDegree, ceterms:AssociateOfAppliedArtsDegree, ceterms:AssociateOfAppliedScienceDegree, ceterms:AssociateOfArtsDegree, ceterms:AssociateOfScienceDegree, ceterms:BachelorDegree, ceterms:BachelorOfArtsDegree, ceterms:BachelorOfScienceDegree, ceterms:Badge, ceterms:Certificate, ceterms:CertificateOfCompletion, ceterms:Certification, ceterms:Course, ceterms:Credential, ceterms:CredentialOrganization, ceterms:CredentialPerson, ceterms:Degree, ceterms:DigitalBadge, ceterms:Diploma, ceterms:DoctoralDegree, ceterms:GeneralEducationDevelopment, ceterms:JourneymanCertificate, ceterms:LearningOpportunityProfile, ceterms:LearningProgram, ceterms:License, ceterms:MasterCertificate, ceterms:MasterDegree, ceterms:MasterOfArtsDegree, ceterms:MasterOfScienceDegree, ceterms:MicroCredential, ceterms:OpenBadge, ceterms:Organization, ceterms:ProfessionalDoctorate, ceterms:QACredentialOrganization, ceterms:QualityAssuranceCredential, ceterms:ResearchDoctorate, ceterms:SecondarySchoolDiploma, ceterms:SpecialistDegree",Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Availability Listing,Listing of online and/or physical locations where a credential can be pursued.,"",xsd:anyURI,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Coded Notation,Set of alpha-numeric symbols as defined by the body responsible for this resource that uniquely identifies this resource and supports its discovery and use.,"",xsd:string,Credential Transparency Description Language (1.0),Similar,"The definition is similar in intent, but with significant wording differences.",otherIdentifier,"In Achievement:A list of identifiers for the described entity.
In Profile:A list of identifiers for the described entity.",ob:Profile,ob:IdentifierEntry,Open Badges 3.0 (3.0),,
Complaint Process,"Process for handling complaints about a credential, or aspects of it including related learning opportunities and assessments.","",ceterms:ProcessProfile,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Credentialing Action,Indicates a past or potential credentialing action in which the resource being described plays an 'object' role.,"","ceterms:AccreditAction, ceterms:AdvancedStandingAction, ceterms:ApproveAction, ceterms:CredentialingAction, ceterms:OfferAction, ceterms:RecognizeAction, ceterms:RegulateAction, ceterms:RenewAction, ceterms:RevokeAction, ceterms:RightsAction",Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
CTID,"Globally unique Credential Transparency Identifier (CTID) by which the creator, owner or provider of a resource recognizes it in transactions with the external environment (e.g., in verifiable claims involving the resource).","",xsd:string,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Date Issued,"Date of formal issuance of the resource.
The date of formal issuance of the resource.","","",ELM Micro-Credential,No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Department,Department of the organization.,"","ceterms:CredentialOrganization, ceterms:Organization, ceterms:QACredentialOrganization",Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Description,"Statement, characterization or account of the entity.","",rdf:langString,Credential Transparency Description Language (1.0),Reworded,The definition is identical in intent but reworded; the properties are equivalent.,description,"In Achievement:A short description of the achievement.
In AchievementCredential:The short description of the credential for display purposes in wallets.
In EndorsementCredential:The short description of the credential for display purposes in wallets.
In Evidence:A longer description of the evidence.
In Profile:A short description of the issuer entity or organization.
In RubricCriterionLevel:Description of the rubric criterion level.",ob:Profile,schema:description,Open Badges 3.0 (3.0),,
Development Process,"Entity describing the process by which a credential, or aspects of it, were created.","",ceterms:ProcessProfile,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
DUNS,Dun &amp; Bradstreet DUNS number for identifying an organization or business person.,"",xsd:string,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Email,Email address of the organization or person.,"",xsd:string,Credential Transparency Description Language (1.0),Reworded,The definition is identical in intent but reworded; the properties are equivalent.,email,An email address.,ob:Profile,schema:email,Open Badges 3.0 (3.0),,
Employee,Person employed for wages or salary by the organization.,"",ceterms:CredentialPerson,Credential Transparency Description Language (1.0),Similar,"The definition is similar in intent, but with significant wording differences.",official,"If the entity is an organization, `official` is the name of an authorized official of the organization.",ob:Profile,"",Open Badges 3.0 (3.0),,
FEIN,"Federal Employer Identification Number (FEIN) identifying organizations, persons, states, government agencies, corporations, and companies.","",xsd:string,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Founding Date,Date the organization was founded.,"",xsd:string,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Framework Name,Name of the framework.,"",rdf:langString,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Framework URL,Credential framework to which the entity is aligned.,"",xsd:anyURI,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Has Alignment Map,Alignment map owned by the agent.,"",ceterms:AlignmentMap,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Has Condition Manifest,"Entity that describes a set of constraints, prerequisites, entry conditions, or requirements applicable across the organization, sub-organization or sets of credentials or acitivites.","",ceterms:ConditionManifest,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Has Cost Manifest,"Entity that describes a set of cost data applicable across the organization, sub-organization or sets of credentials or acitivites.","",ceterms:CostManifest,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Has Member,"Indicates an agent (person or other organization) who is a member of the subject Organization. Inverse of org:memberOf, see that property for further clarification.","","",ELM - Micro-Credential,Similar,"The definition is similar in intent, but with significant wording differences.",official,"If the entity is an organization, `official` is the name of an authorized official of the organization.",ob:Profile,"",Open Badges 3.0 (3.0),,
Has Verification Service,Entity describing available systems provided by the agent to verify credential holders.,"",ceterms:VerificationServiceProfile,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Identifier,Alphanumeric token that identifies this resource and information about the token's originating context or scheme.,"",ceterms:IdentifierValue,Credential Transparency Description Language (1.0),Similar,"The definition is similar in intent, but with significant wording differences.",otherIdentifier,"In Achievement:A list of identifiers for the described entity.
In Profile:A list of identifiers for the described entity.",ob:Profile,ob:IdentifierEntry,Open Badges 3.0 (3.0),,
Identifier Type,"Framework, scheme, type, or other organizing principle of this identifier.","",xsd:anyURI,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Identifier Type Name,"Formal name or acronym of the framework, scheme, type, or other organizing principle of this identifier, such as ISBN or ISSN.","",rdf:langString,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Identifier Value Code,Alphanumeric string identifier of the entity.,"",xsd:string,Credential Transparency Description Language (1.0),Similar,"The definition is similar in intent, but with significant wording differences.",otherIdentifier,"In Achievement:A list of identifiers for the described entity.
In Profile:A list of identifiers for the described entity.",ob:Profile,ob:IdentifierEntry,Open Badges 3.0 (3.0),,
Image,"Image, icon or logo that represents the entity including registered trade or service marks.","",xsd:anyURI,Credential Transparency Description Language (1.0),Reworded,The definition is identical in intent but reworded; the properties are equivalent.,image,"In Achievement:An image representing the achievement.
In AchievementCredential:The image representing the credential for display purposes in wallets.
In AchievementSubject:An image representing this user's achievement. If present, this must be a PNG or SVG image, and should be prepared via the 'baking' instructions. An 'unbaked' image for the achievement is defined in the Achievement class and should not be duplicated here.
In Profile:An image representing the issuer. This must be a PNG or SVG image.",ob:Profile,ob:Image,Open Badges 3.0 (3.0),,
In Demand Action,Assertion by an agent that this resource has a specific workforce demand level.,"",ceterms:WorkforceDemandAction,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Industry Type,"Type of industry; select from an existing enumeration of such types such as the SIC, NAICS, and ISIC classifications.","",ceterms:CredentialAlignmentObject,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
ISIC Revision 4 Code,"The International Standard of Industrial Classification of All Economic Activities (ISIC), Revision 4 code for a particular organization, business person, or place.","",xsd:string,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Jurisdiction,Geographic or political region in which the credential is formally applicable or an organization has authority to act.,"",ceterms:JurisdictionProfile,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Keyword,Keyword or key phrase describing relevant aspects of an entity.,"",rdf:langString,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
last modification date,"","","",ELM - Micro-Credential,No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Legal Entity Identifier Code,"A 20-digit, alpha-numeric code, based on the ISO 17442 standard, for identifying legal entities participating in financial transactions.","",xsd:string,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Life Cycle Status Type,Type of state of the resource in terms of its stage in a life cycle; select from an enumeration of such types.,"",ceterms:CredentialAlignmentObject,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Maintenance Process,Entity describing the process by which the credential is maintained including review and updating.,"",ceterms:ProcessProfile,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Mission and Goals Statement,Webpage or online document that defines or explains the mission and goals of the organization.,"",xsd:anyURI,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Mission and Goals Statement Description,Textual statement of the mission and goals of the organization.,"",rdf:langString,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
NAICS,North American Industry Classification System (NAICS) code of an organization or business person.,"",xsd:string,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Name,Name or title of the resource.,"",rdf:langString,Credential Transparency Description Language (1.0),Reworded,The definition is identical in intent but reworded; the properties are equivalent.,name,"In Achievement:The name of the achievement.
In AchievementCredential:The name of the credential for display purposes in wallets. For example, in a list of credentials and in detail views.
In EndorsementCredential:The name of the credential for display purposes in wallets. For example, in a list of credentials and in detail views.
In Evidence:A descriptive title of the evidence.
In Profile:The name of the entity or organization.
In ResultDescription:The name of the result.
In RubricCriterionLevel:The name of the rubric criterion level.",ob:Profile,schema:name,Open Badges 3.0 (3.0),,
NCES ID,Identifier comprised of a 12 digit code issued by the National Center for Education Statistics (NCES) for educational institutions where the first 7 digits are the NCES District ID.,"",xsd:string,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Offers,Resource offered or conferred by the organization or person.,"","ceterms:ApprenticeshipCertificate, ceterms:AssessmentProfile, ceterms:AssociateDegree, ceterms:AssociateOfAppliedArtsDegree, ceterms:AssociateOfAppliedScienceDegree, ceterms:AssociateOfArtsDegree, ceterms:AssociateOfScienceDegree, ceterms:BachelorDegree, ceterms:BachelorOfArtsDegree, ceterms:BachelorOfScienceDegree, ceterms:Badge, ceterms:Certificate, ceterms:CertificateOfCompletion, ceterms:Certification, ceterms:Course, ceterms:Credential, ceterms:Degree, ceterms:DigitalBadge, ceterms:Diploma, ceterms:DoctoralDegree, ceterms:GeneralEducationDevelopment, ceterms:Job, ceterms:JourneymanCertificate, ceterms:LearningOpportunityProfile, ceterms:LearningProgram, ceterms:License, ceterms:MasterCertificate, ceterms:MasterDegree, ceterms:MasterOfArtsDegree, ceterms:MasterOfScienceDegree, ceterms:MicroCredential, ceterms:OpenBadge, ceterms:Pathway, ceterms:ProfessionalDoctorate, ceterms:QualityAssuranceCredential, ceterms:ResearchDoctorate, ceterms:SecondarySchoolDiploma, ceterms:SpecialistDegree, ceterms:SupportService",Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
OPE ID,"OPE ID number (U.S. Office of Postsecondary Education Identification), sometimes referred to as the Federal School Code.","",xsd:string,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Owns,Resource over which the organization or person claims legal title.,"","ceterms:ApprenticeshipCertificate, ceterms:AssessmentProfile, ceterms:AssociateDegree, ceterms:AssociateOfAppliedArtsDegree, ceterms:AssociateOfAppliedScienceDegree, ceterms:AssociateOfArtsDegree, ceterms:AssociateOfScienceDegree, ceterms:BachelorDegree, ceterms:BachelorOfArtsDegree, ceterms:BachelorOfScienceDegree, ceterms:Badge, ceterms:Certificate, ceterms:CertificateOfCompletion, ceterms:Certification, ceterms:Course, ceterms:Credential, ceterms:Degree, ceterms:DigitalBadge, ceterms:Diploma, ceterms:DoctoralDegree, ceterms:GeneralEducationDevelopment, ceterms:JourneymanCertificate, ceterms:LearningOpportunityProfile, ceterms:LearningProgram, ceterms:License, ceterms:MasterCertificate, ceterms:MasterDegree, ceterms:MasterOfArtsDegree, ceterms:MasterOfScienceDegree, ceterms:MicroCredential, ceterms:OpenBadge, ceterms:Pathway, ceterms:ProfessionalDoctorate, ceterms:QualityAssuranceCredential, ceterms:ResearchDoctorate, ceterms:SecondarySchoolDiploma, ceterms:SpecialistDegree, ceterms:SupportService, ceterms:TransferValueProfile",Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Parent Organization,Larger organization exercising authority over the organization being described.,"","ceterms:CredentialOrganization, ceterms:Organization, ceterms:QACredentialOrganization",Credential Transparency Description Language (1.0),Reworded,The definition is identical in intent but reworded; the properties are equivalent.,parentOrg,The parent organization of the entity.,ob:Profile,ob:Profile,Open Badges 3.0 (3.0),,
preferred label," A prefered label
A resource has no more than one value of skos:prefLabel per language tag, and no more than one value of skos:prefLabel without language tag.
The preferred lexical label for a resource, in a given language.
The range of skos:prefLabel is the class of RDF plain literals.
skos:prefLabel, skos:altLabel and skos:hiddenLabel are pairwise
      disjoint properties.","","",ELM - Micro-Credential,No Match,There is no match for the spine term in the schema being mapped.,,,,,,
publicKey,The key(s) an issuer uses to sign Assertions.,"",rdfs:Literal,Open Badges 2.0 (2.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Recognized By,"Agent that acknowledges the validity of the credential, learning opportunity of assessment.","","ceterms:CredentialOrganization, ceterms:Organization, ceterms:QACredentialOrganization",Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Recognized In,"Region or political jurisdiction such as a state, province or locale in which the credential, learning resource, or assessment has been publicly recommended, acknowledged or endorsed.","",ceterms:JurisdictionProfile,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Recognizes,"Resource that the agent recommends, endorses, indicates preference for, or otherwise provides a positive judgment.","","ceasn:CompetencyFramework, ceterms:ApprenticeshipCertificate, ceterms:AssessmentProfile, ceterms:AssociateDegree, ceterms:AssociateOfAppliedArtsDegree, ceterms:AssociateOfAppliedScienceDegree, ceterms:AssociateOfArtsDegree, ceterms:AssociateOfScienceDegree, ceterms:BachelorDegree, ceterms:BachelorOfArtsDegree, ceterms:BachelorOfScienceDegree, ceterms:Badge, ceterms:Certificate, ceterms:CertificateOfCompletion, ceterms:Certification, ceterms:Course, ceterms:Credential, ceterms:CredentialOrganization, ceterms:CredentialPerson, ceterms:Degree, ceterms:DigitalBadge, ceterms:Diploma, ceterms:DoctoralDegree, ceterms:GeneralEducationDevelopment, ceterms:JourneymanCertificate, ceterms:LearningOpportunityProfile, ceterms:LearningProgram, ceterms:License, ceterms:MasterCertificate, ceterms:MasterDegree, ceterms:MasterOfArtsDegree, ceterms:MasterOfScienceDegree, ceterms:MicroCredential, ceterms:OpenBadge, ceterms:Organization, ceterms:ProfessionalDoctorate, ceterms:QACredentialOrganization, ceterms:QualityAssuranceCredential, ceterms:ResearchDoctorate, ceterms:SecondarySchoolDiploma, ceterms:SpecialistDegree, ceterms:TransferValueProfile",Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Regulated By,"Quality assurance organization that enforces the legal requirements of the credential, learning resource or assessment.","","ceterms:Organization, ceterms:QACredentialOrganization",Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Regulated In,"Region or political jurisdiction such as a state, province or locale in which the credential, learning opportunity or resource is regulated.","",ceterms:JurisdictionProfile,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Renews,Credential type that has its validity extended by the organization or person.,"","ceterms:ApprenticeshipCertificate, ceterms:AssociateDegree, ceterms:AssociateOfAppliedArtsDegree, ceterms:AssociateOfAppliedScienceDegree, ceterms:AssociateOfArtsDegree, ceterms:AssociateOfScienceDegree, ceterms:BachelorDegree, ceterms:BachelorOfArtsDegree, ceterms:BachelorOfScienceDegree, ceterms:Badge, ceterms:Certificate, ceterms:CertificateOfCompletion, ceterms:Certification, ceterms:Credential, ceterms:Degree, ceterms:DigitalBadge, ceterms:Diploma, ceterms:DoctoralDegree, ceterms:GeneralEducationDevelopment, ceterms:JourneymanCertificate, ceterms:License, ceterms:MasterCertificate, ceterms:MasterDegree, ceterms:MasterOfArtsDegree, ceterms:MasterOfScienceDegree, ceterms:MicroCredential, ceterms:OpenBadge, ceterms:ProfessionalDoctorate, ceterms:QualityAssuranceCredential, ceterms:ResearchDoctorate, ceterms:SecondarySchoolDiploma, ceterms:SpecialistDegree",Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Review Process,"Entity that describes the process by which the credential, or aspects of it, are reviewed.","",ceterms:ProcessProfile,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Revocation Process,Entity describing the process by which the credential is revoked.,"",ceterms:ProcessProfile,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Revokes,Credential type that can be invalidated or retracted by the awarding agent.,"","ceterms:ApprenticeshipCertificate, ceterms:AssociateDegree, ceterms:AssociateOfAppliedArtsDegree, ceterms:AssociateOfAppliedScienceDegree, ceterms:AssociateOfArtsDegree, ceterms:AssociateOfScienceDegree, ceterms:BachelorDegree, ceterms:BachelorOfArtsDegree, ceterms:BachelorOfScienceDegree, ceterms:Badge, ceterms:Certificate, ceterms:CertificateOfCompletion, ceterms:Certification, ceterms:Credential, ceterms:Degree, ceterms:DigitalBadge, ceterms:Diploma, ceterms:DoctoralDegree, ceterms:GeneralEducationDevelopment, ceterms:JourneymanCertificate, ceterms:License, ceterms:MasterCertificate, ceterms:MasterDegree, ceterms:MasterOfArtsDegree, ceterms:MasterOfScienceDegree, ceterms:MicroCredential, ceterms:OpenBadge, ceterms:ProfessionalDoctorate, ceterms:QualityAssuranceCredential, ceterms:ResearchDoctorate, ceterms:SecondarySchoolDiploma, ceterms:SpecialistDegree",Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Same As,Another source of information about the entity being described.,"",xsd:anyURI,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
schema agency,The name of the agency that issued the identifier.,"","",ELM Micro-Credential,No Match,There is no match for the spine term in the schema being mapped.,,,,,,
scheme version,Identification of the version of the identifier scheme.,"","",ELM Micro-Credential,No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Service Type,Type of service offered by the agent being described; select from an existing enumeration of such terms.,"",ceterms:CredentialAlignmentObject,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Social Media,Social media access point for an agent or an agent's contact point.,"",xsd:anyURI,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Spatial Coverage,"Spatial characteristics of the resource.
The geographical area covered in which the physical location is located. A code should be used to identify the spatial scope ","","",ELM Micro-Credential,No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Subject Webpage,Webpage that describes this entity.,"",xsd:anyURI,Credential Transparency Description Language (1.0),Similar,"The definition is similar in intent, but with significant wording differences.",url,"The homepage or social media profile of the entity, whether individual or institutional. Should be a URL/URI Accessible via HTTP.",ob:Profile,"",Open Badges 3.0 (3.0),,
Sub-Organization,Organization in a subordinate or lower position than a parent organization.,"","ceterms:CredentialOrganization, ceterms:Organization, ceterms:QACredentialOrganization",Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
